"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"广安","四川省","1039.97776487853","广州市",13.85471085252307,1039977.7648785309,"广州市",13.85471085252307
"德阳","四川省","1247.39344621725","广州市",14.036567490777287,1247393.4462172454,"广州市",14.036567490777287
"成都","四川省","1237.31714234322","湛江市",14.028456806943689,1256980.401388139,"广州市",14.044223691431212
"攀枝花","四川省","1066.16512452675","湛江市",13.87957971070956,1248609.4034376924,"广州市",14.037541813657155
"泸州","四川省","934.198946033417","湛江市",13.747445769282445,968594.3319901824,"广州市",13.783602189602654
"甘孜","四川省","1485.81508193195","湛江市",14.211474729394096,1575204.4121480563,"广州市",14.269896242149333
"眉山","四川省","1169.51787482954","湛江市",13.972103004106183,1211531.9141756021,"广州市",14.007396986988203
"绵阳","四川省","1282.99510903703","广州市",14.064708610886257,1282995.1090370251,"广州市",14.064708610886257
"自贡","四川省","1064.56685378791","湛江市",13.878079503687136,1100966.094055501,"广州市",13.911699527933479
"资阳","四川省","1137.02729372439","湛江市",13.94392865696518,1140326.8261029553,"广州市",13.946826345788262
"达州","四川省","1063.46902754204","广州市",13.87704773037812,1063469.0275420407,"广州市",13.87704773037812
"遂宁","四川省","1136.50833264632","广州市",13.943472133984368,1136508.3326463166,"广州市",13.943472133984368
"阿坝","四川省","1459.86382101951","湛江市",14.193854401055154,1466972.564252569,"广州市",14.198712036685022
"雅安","四川省","1235.69092211822","湛江市",14.027141631981186,1302833.95228667,"广州市",14.080053180614042
"天津","天津市","0","天津市",0,0,"天津市",0
"中卫","宁夏回族自治区","1065.46274537573","天津市",13.8789207040158,1065462.7453757252,"天津市",13.8789207040158
"吴忠","宁夏回族自治区","966.79736243739","天津市",13.781745234013371,966797.3624373898,"天津市",13.781745234013371
"固原","宁夏回族自治区","1049.61332938343","天津市",13.863933349311461,1049613.3293834315,"天津市",13.863933349311461
"石嘴山","宁夏回族自治区","932.831393602646","天津市",13.745980821250951,932831.3936026461,"天津市",13.745980821250951
"银川","宁夏回族自治区","960.003933008308","天津市",13.774693701981137,960003.933008308,"天津市",13.774693701981137
"亳州","安徽省","298.234515740238","连云港市",12.605638774624097,493235.1560589376,"青岛市",13.108743356707278
"六安","安徽省","405.318898379088","连云港市",12.912431906844487,491625.1007450274,"上海市",13.105473748724794
